ID,Status,PeakPower(W),MachineTemp,TempUnits,WindSpeed,SpeedUnits,MeasureDate,MeasureTime,Region
WWS-S1001,Active,1040832,76.56,C,22.52,KMPH,7/1/2021,16:01:45,EMEA
WWS-S1001,Offline,1160809,82.13,C,18.86,KMPH,2/1/2021,6:02:45,EMEA
WWS-S1006,Offline,1122707,75.47,C,18.73,KMPH,4/1/2021,22:23:43,APAC
WWS-S1005,Active,1210178,75.59,C,19.35,KMPH,3/1/2021,16:46:34,ANZ
WWS-S1005,Offline,1107604,66.15,C,23.02,KMPH,1/1/2021,19:07:01,APAC
WWS-S1005,Active,1213207,75.37,C,19.65,KMPH,2/1/2021,12:59:29,APAC
WWS-S1001,Active,1242827,65.72,C,24.59,KMPH,4/1/2021,16:51:00,ANZ
WWS-S1005,Active,1072235,68.49,C,21.37,KMPH,7/1/2021,20:31:35,LATAM
WWS-S1000,Active,1181874,79.7,C,23.12,KMPH,2/1/2021,13:56:49,ANZ
WWS-S1002,Active,1187446,69.04,C,23.03,KMPH,7/1/2021,12:09:07,NORTHAM
WWS-S1005,Offline,1192546,66.59,C,22.67,KMPH,6/1/2021,22:49:11,EMEA
WWS-S1001,Active,1102936,82.09,C,19.35,KMPH,3/1/2021,23:53:55,NORTHAM
WWS-S1007,Active,1119515,76.5,C,22.15,KMPH,2/1/2021,12:33:48,NORTHAM
WWS-S1007,Active,1091933,75.22,C,23.6,KMPH,4/1/2021,5:35:11,ANZ
WWS-S1006,Active,1171686,69.14,C,22.83,KMPH,4/1/2021,9:28:26,APAC
WWS-S1003,Offline,1154075,84.94,C,16.15,KMPH,5/1/2021,17:16:28,EMEA
WWS-S1005,Offline,1248916,72.48,C,22.83,KMPH,6/1/2021,20:46:30,APAC
WWS-S1004,Active,1145944,77.17,C,16.35,KMPH,1/1/2021,15:15:28,ANZ
WWS-S1008,Active,1103968,78.78,C,19.29,KMPH,1/1/2021,7:20:48,LATAM
WWS-S1006,Active,1039743,84.03,C,23.35,KMPH,6/1/2021,15:30:14,EMEA
WWS-S1004,Active,1029034,75.59,C,20.05,KMPH,1/1/2021,23:02:42,EMEA
WWS-S1003,Active,1021020,65.28,C,23.86,KMPH,3/1/2021,0:09:16,ANZ
WWS-S1000,Offline,1117087,76.44,C,22.69,KMPH,2/1/2021,14:33:39,LATAM
WWS-S1007,Active,1018553,79.02,C,17.4,KMPH,7/1/2021,7:04:30,ANZ
WWS-S1002,Active,1123430,84.67,C,23.46,KMPH,3/1/2021,8:03:44,LATAM
WWS-S1008,Active,1188593,71.2,C,23.88,KMPH,4/1/2021,22:11:07,ANZ
WWS-S1000,Active,1144291,76.07,C,21.25,KMPH,1/1/2021,9:22:03,LATAM
WWS-S1005,Offline,1190141,69.99,C,18.73,KMPH,7/1/2021,0:03:58,APAC
WWS-S1003,Active,1182864,74.07,C,23.68,KMPH,4/1/2021,3:20:54,APAC
WWS-S1007,Active,1012589,78.84,C,23.71,KMPH,2/1/2021,20:03:00,EMEA
WWS-S1004,Active,1123274,81.37,C,22.53,KMPH,4/1/2021,17:37:32,NORTHAM
WWS-S1008,Active,1098441,67.03,C,19.41,KMPH,5/1/2021,23:36:31,ANZ
WWS-S1007,Offline,1151588,73.01,C,21.87,KMPH,6/1/2021,22:42:48,EMEA
WWS-S1003,Active,1242761,74.55,C,23.81,KMPH,4/1/2021,23:23:27,ANZ
WWS-S1008,Active,1132055,77.7,C,22.95,KMPH,7/1/2021,14:58:51,EMEA
WWS-S1004,Active,1194540,72.49,C,16.54,KMPH,2/1/2021,22:36:09,NORTHAM
WWS-S1009,Offline,1186408,70.41,C,20.05,KMPH,1/1/2021,9:17:02,APAC
WWS-S1008,Active,1024808,67.05,C,19.04,KMPH,6/1/2021,16:26:06,APAC
WWS-S1000,Active,1120504,70.34,C,22.81,KMPH,1/1/2021,20:46:39,LATAM
WWS-S1001,Active,1058833,82.46,C,15.49,KMPH,5/1/2021,13:31:56,ANZ
WWS-S1005,Active,1128206,69.37,C,23.49,KMPH,6/1/2021,4:01:24,ANZ
WWS-S1009,Active,1209619,78.91,C,18.24,KMPH,2/1/2021,1:33:14,ANZ
WWS-S1006,Active,1188460,78.13,C,20.72,KMPH,3/1/2021,3:49:15,APAC
WWS-S1003,Active,1210018,68.5,C,17.62,KMPH,1/1/2021,11:16:04,LATAM
WWS-S1009,Active,1204639,68.07,C,19.3,KMPH,6/1/2021,15:08:08,NORTHAM
WWS-S1008,Offline,1152640,84.98,C,18.5,KMPH,5/1/2021,18:08:52,EMEA
WWS-S1005,Active,1235235,72.13,C,23.52,KMPH,5/1/2021,19:35:18,EMEA
WWS-S1005,Active,1029496,74.05,C,23.07,KMPH,5/1/2021,23:05:06,LATAM
WWS-S1006,Offline,1218543,77.75,C,22.97,KMPH,6/1/2021,10:49:57,LATAM
WWS-S1005,Active,1220574,66.86,C,21.93,KMPH,7/1/2021,18:17:07,LATAM
WWS-S1009,Active,1077662,66.07,C,22.45,KMPH,6/1/2021,23:09:09,ANZ
WWS-S1003,Active,1212781,72.78,C,20.95,KMPH,6/1/2021,4:58:52,LATAM
WWS-S1002,Active,1189813,80.09,C,21.53,KMPH,7/1/2021,3:12:21,NORTHAM
WWS-S1008,Offline,1041059,74.25,C,20.12,KMPH,7/1/2021,2:06:58,LATAM
WWS-S1001,Active,1021413,67.24,C,15.49,KMPH,7/1/2021,7:59:56,ANZ
WWS-S1004,Active,1144717,66.66,C,15.02,KMPH,3/1/2021,8:51:49,EMEA
WWS-S1009,Active,1088228,80.21,C,16.05,KMPH,5/1/2021,19:34:42,APAC
WWS-S1006,Offline,1074548,69.24,C,19.83,KMPH,4/1/2021,5:33:29,APAC
WWS-S1003,Active,1042580,72.93,C,20.7,KMPH,4/1/2021,19:25:03,LATAM
WWS-S1005,Active,1006342,77.8,C,19.05,KMPH,2/1/2021,18:25:11,EMEA
WWS-S1000,Active,1121115,78.59,C,17.31,KMPH,5/1/2021,21:07:03,ANZ
WWS-S1002,Active,1208118,76.8,C,15.88,KMPH,4/1/2021,7:23:51,ANZ
WWS-S1009,Active,1189773,74.71,C,20.14,KMPH,1/1/2021,13:15:44,ANZ
WWS-S1002,Offline,1023494,70.44,C,22.1,KMPH,7/1/2021,1:20:43,ANZ
WWS-S1006,Offline,1198442,67.08,C,15.14,KMPH,3/1/2021,7:18:40,LATAM
WWS-S1000,Active,1122048,70.25,C,18.4,KMPH,3/1/2021,1:29:31,LATAM
WWS-S1002,Active,1140928,84.99,C,17.51,KMPH,5/1/2021,14:42:49,ANZ
WWS-S1001,Active,1140530,80.01,C,15.57,KMPH,4/1/2021,0:00:41,LATAM
WWS-S1008,Active,1108072,71.42,C,20.02,KMPH,3/1/2021,15:16:03,ANZ
WWS-S1006,Active,1087342,84.8,C,24.15,KMPH,2/1/2021,13:06:34,LATAM
WWS-S1009,Offline,1075927,83.05,C,22.62,KMPH,7/1/2021,11:35:51,ANZ
WWS-S1005,Active,1148117,82.39,C,18.93,KMPH,5/1/2021,1:57:51,LATAM
WWS-S1000,Active,1187840,77.13,C,21.14,KMPH,1/1/2021,19:24:24,EMEA
WWS-S1009,Active,1211554,67.35,C,23.96,KMPH,1/1/2021,17:38:42,NORTHAM
WWS-S1004,Offline,1067792,77.64,C,20.53,KMPH,5/1/2021,4:21:39,LATAM
WWS-S1000,Active,1138003,72.31,C,16.95,KMPH,2/1/2021,7:44:54,ANZ
WWS-S1003,Active,1069688,75.23,C,22.23,KMPH,7/1/2021,9:32:14,NORTHAM
WWS-S1006,Active,1142000,79.31,C,24.37,KMPH,2/1/2021,1:22:41,APAC
WWS-S1005,Active,1158372,83.61,C,22.67,KMPH,3/1/2021,1:30:32,LATAM
WWS-S1001,Active,1062021,83.34,C,15.11,KMPH,4/1/2021,13:24:30,ANZ
WWS-S1004,Offline,1174213,68.38,C,18.25,KMPH,6/1/2021,17:53:45,NORTHAM
WWS-S1000,Active,1007114,83.29,C,20.37,KMPH,6/1/2021,23:21:42,APAC
WWS-S1005,Active,1162289,68.93,C,21.87,KMPH,7/1/2021,1:47:35,LATAM
WWS-S1004,Active,1013382,73.29,C,19.99,KMPH,7/1/2021,5:01:34,APAC
WWS-S1009,Active,1008288,81.58,C,20.27,KMPH,3/1/2021,3:41:23,NORTHAM
WWS-S1004,Offline,1056725,69.94,C,23.02,KMPH,4/1/2021,0:25:22,EMEA
WWS-S1001,Active,1220005,80.97,C,20.34,KMPH,5/1/2021,20:03:39,NORTHAM
WWS-S1005,Active,1177928,72.07,C,22.43,KMPH,2/1/2021,13:18:37,LATAM
WWS-S1001,Active,1137834,77.62,C,23.99,KMPH,3/1/2021,17:57:32,APAC
WWS-S1002,Active,1161624,75.01,C,17.51,KMPH,3/1/2021,12:10:30,EMEA
WWS-S1006,Active,1137571,84.46,C,19.42,KMPH,3/1/2021,17:28:40,EMEA
WWS-S1003,Active,1211997,77.69,C,18.06,KMPH,5/1/2021,19:27:58,LATAM
WWS-S1004,Active,1037945,70.79,C,19.98,KMPH,5/1/2021,23:20:47,EMEA
WWS-S1008,Offline,1170945,83.54,C,15.93,KMPH,7/1/2021,0:31:30,LATAM
WWS-S1002,Active,1165384,71.15,C,21.64,KMPH,6/1/2021,4:13:31,ANZ
WWS-S1001,Active,1041456,71.47,C,22.39,KMPH,5/1/2021,8:54:51,NORTHAM
WWS-S1002,Active,1065072,66.54,C,17.22,KMPH,7/1/2021,23:31:03,EMEA
WWS-S1008,Offline,1118600,76.18,C,19.7,KMPH,6/1/2021,0:50:54,NORTHAM
WWS-S1005,Active,1185971,66.95,C,24.24,KMPH,4/1/2021,1:40:07,APAC
WWS-S1007,Active,1049278,80.48,C,23.04,KMPH,7/1/2021,10:14:25,LATAM
WWS-S1008,Active,1197440,72.39,C,24.92,KMPH,1/1/2021,19:22:32,NORTHAM
WWS-S1006,Offline,1213773,67.45,C,20.33,KMPH,5/1/2021,1:20:34,NORTHAM
WWS-S1003,Active,1033401,84.96,C,20.79,KMPH,6/1/2021,21:27:03,ANZ
WWS-S1005,Active,1197114,80.19,C,19.1,KMPH,2/1/2021,1:07:44,EMEA
WWS-S1000,Active,1091349,70.65,C,17.04,KMPH,3/1/2021,17:58:13,APAC
WWS-S1000,Offline,1108501,67.81,C,18.62,KMPH,2/1/2021,7:43:29,EMEA
WWS-S1007,Offline,1193195,80.69,C,18.25,KMPH,4/1/2021,19:45:20,ANZ
WWS-S1006,Active,1231142,83.81,C,18.06,KMPH,6/1/2021,0:05:26,ANZ
WWS-S1000,Offline,1185051,82.77,C,18.95,KMPH,6/1/2021,7:03:59,APAC
WWS-S1003,Offline,1062976,66.47,C,22.66,KMPH,5/1/2021,23:18:11,LATAM
WWS-S1001,Active,1033912,66.5,C,15.25,KMPH,4/1/2021,13:33:32,NORTHAM
WWS-S1000,Offline,1057214,66.26,C,16.71,KMPH,7/1/2021,11:16:39,ANZ
WWS-S1009,Active,1059103,68.93,C,15.0,KMPH,5/1/2021,21:21:11,ANZ
WWS-S1005,Active,1219109,76.81,C,16.91,KMPH,4/1/2021,22:34:25,NORTHAM
WWS-S1004,Active,1031480,67.68,C,22.27,KMPH,2/1/2021,10:49:20,EMEA
WWS-S1002,Offline,1130862,65.19,C,18.24,KMPH,2/1/2021,9:12:02,APAC
WWS-S1009,Active,1090952,69.19,C,19.71,KMPH,6/1/2021,12:23:39,LATAM
WWS-S1006,Active,1044821,72.87,C,24.81,KMPH,2/1/2021,14:58:08,ANZ
WWS-S1002,Active,1238687,71.27,C,21.75,KMPH,4/1/2021,9:33:38,LATAM
WWS-S1005,Offline,1179210,71.52,C,20.02,KMPH,5/1/2021,2:47:28,LATAM
WWS-S1006,Offline,1207092,67.12,C,22.54,KMPH,6/1/2021,21:02:31,ANZ
WWS-S1005,Active,1018356,71.26,C,20.83,KMPH,4/1/2021,19:30:00,LATAM
WWS-S1001,Active,1143308,82.09,C,15.04,KMPH,2/1/2021,0:27:41,LATAM
WWS-S1002,Active,1038669,78.02,C,16.51,KMPH,2/1/2021,1:33:48,ANZ
WWS-S1009,Active,1062076,79.55,C,15.14,KMPH,2/1/2021,1:04:44,NORTHAM
WWS-S1009,Active,1086522,80.71,C,18.31,KMPH,3/1/2021,13:33:32,ANZ
WWS-S1000,Active,1081194,65.39,C,21.24,KMPH,5/1/2021,12:57:10,ANZ
WWS-S1007,Active,1008274,74.59,C,23.41,KMPH,7/1/2021,19:56:05,ANZ
WWS-S1004,Offline,1236385,83.16,C,23.01,KMPH,4/1/2021,13:12:17,APAC
WWS-S1008,Active,1137655,67.4,C,16.85,KMPH,6/1/2021,21:37:57,ANZ
WWS-S1005,Offline,1182831,68.31,C,20.09,KMPH,1/1/2021,4:40:15,APAC
WWS-S1006,Active,1127654,77.8,C,24.01,KMPH,7/1/2021,4:11:14,NORTHAM
WWS-S1006,Active,1055022,77.12,C,21.55,KMPH,1/1/2021,22:42:35,LATAM
WWS-S1009,Active,1070525,80.57,C,17.32,KMPH,6/1/2021,9:15:44,EMEA
WWS-S1003,Active,1213572,66.82,C,17.31,KMPH,7/1/2021,8:15:08,APAC
WWS-S1007,Offline,1014899,83.32,C,23.44,KMPH,4/1/2021,10:03:56,ANZ
WWS-S1007,Active,1024287,76.82,C,17.75,KMPH,6/1/2021,18:14:54,ANZ
WWS-S1003,Active,1157359,77.75,C,24.3,KMPH,2/1/2021,11:53:50,NORTHAM
WWS-S1009,Active,1114049,80.87,C,24.89,KMPH,6/1/2021,6:42:05,EMEA
WWS-S1009,Offline,1107256,79.65,C,21.6,KMPH,1/1/2021,15:40:29,LATAM
WWS-S1009,Active,1163661,76.73,C,17.26,KMPH,3/1/2021,8:35:29,NORTHAM
WWS-S1005,Offline,1109028,74.99,C,19.78,KMPH,7/1/2021,6:35:05,APAC
WWS-S1001,Active,1023081,77.53,C,22.12,KMPH,4/1/2021,12:48:31,NORTHAM
WWS-S1008,Active,1176869,68.09,C,17.23,KMPH,5/1/2021,19:15:56,LATAM
WWS-S1008,Active,1224121,82.57,C,21.86,KMPH,1/1/2021,1:21:36,APAC
WWS-S1003,Active,1108211,73.39,C,20.02,KMPH,6/1/2021,7:21:00,LATAM
WWS-S1006,Active,1213564,66.12,C,18.03,KMPH,1/1/2021,22:23:24,ANZ
WWS-S1001,Active,1214689,80.25,C,18.89,KMPH,7/1/2021,16:32:49,EMEA
WWS-S1009,Active,1099952,75.61,C,21.66,KMPH,1/1/2021,0:53:44,EMEA
WWS-S1001,Active,1080170,77.07,C,23.79,KMPH,5/1/2021,14:53:42,NORTHAM
WWS-S1004,Active,1031142,77.0,C,16.48,KMPH,1/1/2021,20:01:42,ANZ
WWS-S1005,Active,1133503,83.28,C,15.97,KMPH,7/1/2021,22:22:13,EMEA
WWS-S1006,Active,1157543,66.89,C,17.48,KMPH,5/1/2021,8:02:02,LATAM
WWS-S1009,Active,1074887,78.54,C,24.36,KMPH,4/1/2021,17:34:00,EMEA
WWS-S1007,Active,1170238,65.4,C,20.47,KMPH,3/1/2021,16:21:57,LATAM
WWS-S1008,Active,1144520,83.25,C,15.04,KMPH,7/1/2021,5:06:31,LATAM
WWS-S1009,Offline,1119686,69.3,C,18.1,KMPH,3/1/2021,8:40:53,NORTHAM
WWS-S1008,Active,1180754,74.36,C,17.07,KMPH,5/1/2021,22:52:10,LATAM
WWS-S1007,Active,1038725,77.17,C,21.68,KMPH,2/1/2021,21:39:10,LATAM
WWS-S1004,Active,1181379,74.91,C,17.75,KMPH,7/1/2021,18:10:16,APAC
WWS-S1001,Active,1073516,72.38,C,17.76,KMPH,6/1/2021,16:58:25,EMEA
WWS-S1006,Offline,1140140,70.06,C,24.26,KMPH,6/1/2021,16:25:07,EMEA
WWS-S1001,Active,1050734,67.66,C,16.67,KMPH,1/1/2021,15:20:48,EMEA
WWS-S1006,Active,1051630,82.25,C,17.06,KMPH,3/1/2021,20:40:10,ANZ
WWS-S1009,Active,1090734,77.99,C,20.78,KMPH,1/1/2021,18:22:10,LATAM
WWS-S1009,Active,1050038,74.6,C,20.83,KMPH,1/1/2021,2:05:26,ANZ
WWS-S1008,Active,1075211,69.76,C,20.67,KMPH,3/1/2021,14:50:14,APAC
WWS-S1005,Active,1202372,81.54,C,23.59,KMPH,3/1/2021,16:12:29,NORTHAM
WWS-S1005,Active,1117393,75.89,C,18.98,KMPH,5/1/2021,19:05:06,APAC
WWS-S1009,Active,1176213,71.24,C,17.3,KMPH,5/1/2021,10:15:39,APAC
WWS-S1006,Active,1218258,70.21,C,16.19,KMPH,7/1/2021,6:27:44,LATAM
WWS-S1001,Offline,1138426,84.89,C,23.57,KMPH,3/1/2021,6:41:42,EMEA
WWS-S1002,Active,1143011,67.53,C,19.91,KMPH,6/1/2021,17:54:14,LATAM
WWS-S1000,Active,1216113,65.82,C,16.82,KMPH,1/1/2021,6:29:31,ANZ
WWS-S1005,Active,1043667,79.04,C,24.38,KMPH,3/1/2021,16:12:39,NORTHAM
WWS-S1000,Active,1062813,83.29,C,21.49,KMPH,2/1/2021,19:43:56,APAC
WWS-S1000,Active,1068649,79.78,C,23.96,KMPH,4/1/2021,21:29:24,EMEA
WWS-S1004,Active,1172003,80.14,C,20.75,KMPH,3/1/2021,12:20:07,ANZ
WWS-S1006,Active,1034814,83.67,C,17.06,KMPH,7/1/2021,6:21:36,ANZ
WWS-S1009,Active,1156733,80.41,C,17.25,KMPH,5/1/2021,7:42:32,APAC
WWS-S1003,Offline,1183974,68.55,C,18.1,KMPH,1/1/2021,20:50:10,LATAM
WWS-S1006,Active,1181536,65.51,C,24.22,KMPH,2/1/2021,17:28:58,NORTHAM
WWS-S1006,Active,1171422,70.55,C,15.55,KMPH,2/1/2021,23:44:15,LATAM
WWS-S1007,Active,1090087,81.56,C,18.43,KMPH,5/1/2021,9:38:04,LATAM
WWS-S1004,Offline,1204899,70.07,C,24.62,KMPH,7/1/2021,11:43:26,EMEA
WWS-S1003,Active,1108812,72.49,C,20.37,KMPH,2/1/2021,18:51:35,NORTHAM
WWS-S1002,Active,1047510,73.62,C,20.51,KMPH,4/1/2021,10:44:54,LATAM
WWS-S1005,Active,1207043,84.08,C,22.43,KMPH,2/1/2021,5:37:20,ANZ
WWS-S1006,Active,1079333,80.51,C,15.21,KMPH,4/1/2021,2:16:09,EMEA
WWS-S1002,Offline,1027344,81.99,C,21.71,KMPH,1/1/2021,23:11:45,NORTHAM
WWS-S1002,Active,1090431,71.11,C,17.75,KMPH,2/1/2021,10:42:37,APAC
WWS-S1002,Active,1064619,68.79,C,15.13,KMPH,5/1/2021,0:17:34,NORTHAM
WWS-S1006,Active,1014441,71.62,C,23.59,KMPH,6/1/2021,19:56:24,NORTHAM
WWS-S1000,Offline,1051809,66.11,C,17.97,KMPH,1/1/2021,21:51:21,LATAM
WWS-S1003,Active,1038846,84.67,C,22.55,KMPH,5/1/2021,20:30:03,APAC
WWS-S1006,Offline,1138129,68.07,C,20.28,KMPH,7/1/2021,1:47:37,APAC
WWS-S1004,Active,1213313,78.74,C,18.49,KMPH,2/1/2021,18:34:48,LATAM
WWS-S1006,Offline,1237508,66.0,C,22.36,KMPH,1/1/2021,9:21:10,NORTHAM
WWS-S1000,Active,1095009,76.66,C,21.29,KMPH,6/1/2021,8:08:06,APAC
WWS-S1009,Active,1209459,82.01,C,18.15,KMPH,4/1/2021,4:16:48,APAC
WWS-S1000,Active,1214359,84.59,C,23.84,KMPH,5/1/2021,11:03:25,APAC
WWS-S1007,Offline,1200055,77.17,C,16.78,KMPH,3/1/2021,19:03:48,ANZ
WWS-S1001,Active,1053262,75.03,C,17.69,KMPH,7/1/2021,17:28:04,APAC
WWS-S1007,Active,1098821,75.6,C,22.9,KMPH,5/1/2021,6:06:25,APAC
WWS-S1003,Offline,1042845,74.42,C,21.12,KMPH,5/1/2021,2:12:53,APAC
WWS-S1009,Offline,1194710,78.13,C,20.49,KMPH,4/1/2021,15:47:04,EMEA
WWS-S1002,Active,1047654,83.08,C,22.2,KMPH,7/1/2021,3:55:40,APAC
WWS-S1008,Active,1166414,84.14,C,23.79,KMPH,1/1/2021,21:17:24,LATAM
WWS-S1009,Active,1020599,68.49,C,23.61,KMPH,2/1/2021,22:31:02,APAC
WWS-S1005,Active,1150517,83.56,C,18.21,KMPH,7/1/2021,18:19:00,ANZ
WWS-S1003,Active,1152380,73.7,C,16.45,KMPH,4/1/2021,7:13:52,APAC
WWS-S1002,Active,1187259,73.99,C,16.54,KMPH,3/1/2021,18:44:33,ANZ
WWS-S1000,Active,1058005,74.11,C,18.6,KMPH,3/1/2021,19:41:01,ANZ
WWS-S1006,Offline,1121911,77.82,C,16.19,KMPH,4/1/2021,20:45:13,APAC
WWS-S1000,Active,1184141,69.4,C,16.53,KMPH,1/1/2021,8:09:17,EMEA
WWS-S1002,Active,1169221,77.07,C,18.63,KMPH,1/1/2021,5:15:14,LATAM
WWS-S1009,Active,1094777,71.81,C,22.63,KMPH,4/1/2021,18:09:14,NORTHAM
WWS-S1004,Active,1171679,70.76,C,15.01,KMPH,7/1/2021,21:12:26,APAC
WWS-S1005,Active,1181772,84.01,C,23.73,KMPH,4/1/2021,23:13:43,APAC
WWS-S1005,Active,1157772,74.05,C,21.97,KMPH,3/1/2021,8:13:29,ANZ
WWS-S1003,Active,1247127,78.23,C,18.59,KMPH,3/1/2021,1:18:10,LATAM
WWS-S1007,Offline,1088463,70.0,C,17.55,KMPH,1/1/2021,14:15:02,LATAM
WWS-S1001,Active,1246851,71.96,C,21.47,KMPH,3/1/2021,12:42:59,LATAM
WWS-S1007,Active,1037981,75.4,C,16.45,KMPH,5/1/2021,4:10:04,NORTHAM
WWS-S1008,Active,1057996,84.36,C,21.37,KMPH,7/1/2021,22:03:06,APAC
WWS-S1001,Active,1176032,76.14,C,22.01,KMPH,4/1/2021,11:20:06,APAC
WWS-S1002,Active,1103877,84.74,C,24.34,KMPH,3/1/2021,15:50:29,LATAM
WWS-S1009,Offline,1041297,70.08,C,23.61,KMPH,3/1/2021,2:35:09,APAC
WWS-S1003,Offline,1106591,82.78,C,16.63,KMPH,2/1/2021,20:22:27,ANZ
WWS-S1007,Active,1036173,82.29,C,20.59,KMPH,6/1/2021,23:11:52,LATAM
WWS-S1001,Active,1196942,81.97,C,22.04,KMPH,4/1/2021,15:23:27,LATAM
WWS-S1008,Active,1236758,78.72,C,19.32,KMPH,3/1/2021,9:58:57,EMEA
WWS-S1000,Offline,1071818,75.17,C,17.18,KMPH,2/1/2021,19:26:36,APAC
WWS-S1003,Active,1243468,67.89,C,20.3,KMPH,3/1/2021,8:55:02,APAC
WWS-S1007,Active,1177452,71.08,C,15.11,KMPH,4/1/2021,16:53:13,LATAM
WWS-S1002,Active,1229836,68.39,C,19.0,KMPH,5/1/2021,3:49:10,EMEA
WWS-S1003,Active,1217443,69.54,C,24.09,KMPH,4/1/2021,6:03:29,NORTHAM
WWS-S1004,Active,1124633,66.36,C,16.87,KMPH,6/1/2021,21:44:49,EMEA
WWS-S1008,Offline,1182007,66.0,C,17.77,KMPH,6/1/2021,4:57:23,NORTHAM
WWS-S1002,Active,1208104,79.15,C,20.67,KMPH,4/1/2021,14:23:26,LATAM
WWS-S1002,Active,1237830,67.45,C,16.29,KMPH,3/1/2021,22:33:50,ANZ
WWS-S1001,Active,1023752,67.23,C,18.7,KMPH,1/1/2021,16:12:36,NORTHAM
WWS-S1004,Offline,1147450,67.38,C,16.36,KMPH,1/1/2021,11:48:26,EMEA
WWS-S1008,Active,1028188,68.46,C,18.17,KMPH,2/1/2021,18:02:33,EMEA
WWS-S1007,Active,1046332,80.61,C,24.42,KMPH,4/1/2021,7:31:44,LATAM
WWS-S1006,Active,1201189,74.07,C,15.04,KMPH,7/1/2021,11:31:38,EMEA
